,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
611,612,612,1160.0,1160.0,1200.0,1670.0,0.0,random,92.0,34.0,92.0,0.5000000000000001,612,model_id_612,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_612,59.59202109640179,25.275163238058546,1204822.1866666668,1204376.0,1615.545434203628,1477.1976901756307,1414.9678463676514,1393.1430146934242
612,613,613,810.0,810.0,845.0,1810.0,0.0,random,16.0,56.0,16.0,0.5700000000000002,613,model_id_613,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_613,21.6252518468771,100.0,60020.05333333333,59560.0,1505.6116929455732,1019.4696850204741,936.148681844352,915.7828667840286
613,614,614,1260.0,1260.0,1300.0,1620.0,0.0,random,92.0,68.0,92.0,0.1,614,model_id_614,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_614,8.944403689823774,0.0,2409644.3733333335,2410088.0,1598.4255847953311,1536.3053249238794,1503.569662230272,1490.8661663459277
614,615,615,750.0,750.0,790.0,1780.0,0.0,random,142.0,18.0,142.0,0.19,615,model_id_615,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_615,60.62022628593161,100.0,1519559.0399999998,1514544.0,1620.7476901575071,1248.8990262011441,1129.0308940168766,1093.318614607823
615,616,616,1370.0,1370.0,1450.0,1690.0,0.0,random,116.0,38.0,116.0,0.7800000000000001,616,model_id_616,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_616,80.67018885984886,0.0,2140759.893333333,2139576.0,1658.2215180083094,1581.849250999238,1551.211134924138,1540.7345493239586
616,617,617,1170.0,1170.0,1185.0,1810.0,0.0,random,38.0,84.0,38.0,0.22,617,model_id_617,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_617,82.86444206143948,12.680565192708006,507825.92,507296.0,1730.62126982708,1523.4199426018495,1434.5460551315539,1404.3966033132385
617,618,618,920.0,920.0,965.0,1700.0,0.0,random,28.0,36.0,28.0,0.15,618,model_id_618,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_618,46.06520707652681,100.0,118164.48,118024.0,1566.2034329896421,1225.3097799416155,1112.7829939481248,1082.5223225446166
618,619,619,1430.0,1430.0,1460.0,1790.0,0.0,random,128.0,134.0,128.0,0.43,619,model_id_619,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_619,100.0,0.0,9191642.453333333,9195224.0,1772.7798569927738,1723.7716873396812,1697.649749658803,1687.3871599759848
619,620,620,860.0,860.0,875.0,1710.0,0.0,random,118.0,76.0,118.0,0.16,620,model_id_620,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_620,82.29089379554863,35.662823297065934,4430431.1466666665,4431528.0,1663.6679888998397,1528.4350280865135,1455.8989887238838,1427.4373641883926
620,621,621,890.0,890.0,940.0,1880.0,0.0,random,134.0,60.0,134.0,0.5600000000000002,621,model_id_621,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_621,90.58035643044713,11.027853775215831,4510547.2,4511848.0,1810.8119727140395,1626.1709273167567,1533.2965857905485,1498.3267247160338
